Team;M;W;D;L;G;GA;goal_difference;PTS;xG;goal_discrepancy;xGA;goal_suffered_discrepancy;xG_difference;xPTS;points_discrepancy
Juventus;38;26;9;3;72;24;48;87;59.08;-12.92;29.13;5.13;29.95;74.79;-12.21
Roma;38;19;13;6;54;31;23;70;50.85;-3.15;36.79;5.79;14.06;62.16;-7.84
Lazio;38;21;6;11;71;38;33;69;62;-9;35.87;-2.13;26.13;67.79;-1.21
Fiorentina;38;18;10;10;61;46;15;64;60.67;-0.33;48.5;2.5;12.17;61.11;-2.89
Napoli;38;18;9;11;70;54;16;63;64.5;-5.5;34.37;-19.63;30.13;70.72;7.72
Genoa;38;16;11;11;62;47;15;59;57.32;-4.68;60.37;13.37;-3.05;50.55;-8.45
Sampdoria;38;13;17;8;48;42;6;56;47.59;-0.41;48.37;6.37;-0.78;52.85;-3.15
Inter;38;14;13;11;59;48;11;55;57.17;-1.83;44.32;-3.68;12.85;60.8;5.8
Torino;38;14;12;12;48;45;3;54;51.78;3.78;42.69;-2.31;9.09;56.95;2.95
AC Milan;38;13;13;12;56;50;6;52;47.07;-8.93;53.99;3.99;-6.92;48.33;-3.67
Palermo;38;12;13;13;53;55;-2;49;54.97;1.97;44.01;-10.99;10.96;58.68;9.68
Sassuolo;38;12;13;13;49;57;-8;49;42.91;-6.09;55.19;-1.81;-12.28;44.1;-4.9
Verona;38;11;13;14;49;65;-16;46;46.88;-2.12;63.41;-1.59;-16.53;41.97;-4.03
Chievo;38;10;13;15;28;41;-13;43;33.01;5.01;48.99;7.99;-15.98;41.41;-1.59
Empoli;38;8;18;12;46;52;-6;42;49.66;3.66;43.42;-8.58;6.24;56.94;14.94
Udinese;38;10;11;17;43;56;-13;41;34.86;-8.14;54.75;-1.25;-19.89;37.46;-3.54
Atalanta;38;7;16;15;38;57;-19;37;40.94;2.94;59.4;2.4;-18.46;39.26;2.26
Cagliari;38;8;10;20;48;68;-20;34;53.92;5.92;54.17;-13.83;-0.25;53.05;19.05
Parma;38;6;8;24;33;75;-42;26;31.77;-1.23;60.74;-14.26;-28.97;31.52;5.52
Cesena;38;4;12;22;36;73;-37;24;34.62;-1.38;63.08;-9.92;-28.46;34.75;10.75
Chelsea;38;26;9;3;73;32;41;87;68.64;-4.36;31.52;-0.48;37.12;75.32;-11.68
Manchester City;38;24;7;7;83;38;45;79;75.82;-7.18;40.5;2.5;35.32;73.1;-5.9
Arsenal;38;22;9;7;71;36;35;75;69.8;-1.2;35.72;-0.28;34.08;75.17;0.17
Manchester United;38;20;10;8;62;37;25;70;54.21;-7.79;39.84;2.84;14.37;63.03;-6.97
Tottenham;38;19;7;12;58;53;5;64;52.39;-5.61;57.04;4.04;-4.65;48.94;-15.06
Liverpool;38;18;8;12;52;48;4;62;51.7;-0.3;38.25;-9.75;13.45;61.17;-0.83
Southampton;38;18;6;14;54;33;21;60;54.97;0.97;39.11;6.11;15.86;62.82;2.82
Swansea;38;16;8;14;46;49;-3;56;40.9;-5.1;55.94;6.94;-15.04;43.32;-12.68
Stoke;38;15;9;14;48;45;3;54;46.26;-1.74;47.03;2.03;-0.77;51.97;-2.03
Crystal Palace;38;13;9;16;47;51;-4;48;44.76;-2.24;45.48;-5.52;-0.72;50.56;2.56
Everton;38;12;11;15;48;50;-2;47;44.89;-3.11;46.18;-3.82;-1.29;50.91;3.91
West Ham;38;12;11;15;44;47;-3;47;46.69;2.69;57.4;10.4;-10.71;47.22;0.22
West Bromwich Albion;38;11;11;16;38;51;-13;44;38.63;0.63;53.75;2.75;-15.12;44.74;0.74
Leicester;38;11;8;19;46;55;-9;41;48.21;2.21;56.39;1.39;-8.18;44.64;3.64
Newcastle United;38;10;9;19;40;63;-23;39;40.22;0.22;51.01;-11.99;-10.79;45.63;6.63
Sunderland;38;7;17;14;31;53;-22;38;37.45;6.45;51.46;-1.54;-14.01;44.18;6.18
Aston Villa;38;10;8;20;31;57;-26;38;33.1;2.1;49.71;-7.29;-16.61;40.89;2.89
Hull;38;8;11;19;33;51;-18;35;32.79;-0.21;46.99;-4.01;-14.2;41.32;6.32
Burnley;38;7;12;19;28;53;-25;33;39.37;11.37;57.89;4.89;-18.52;39.8;6.8
Queens Park Rangers;38;8;6;24;42;73;-31;30;45.73;3.73;65.26;-7.74;-19.53;40.28;10.28
Barcelona;38;30;4;4;110;21;89;94;102.98;-7.02;28.44;7.44;74.54;94.08;0.08
Real Madrid;38;30;2;6;118;38;80;92;95.77;-22.23;42.61;4.61;53.16;81.75;-10.25
Atletico Madrid;38;23;9;6;67;29;38;78;57.05;-9.95;29.07;0.07;27.98;73.14;-4.86
Valencia;38;22;11;5;70;32;38;77;55.06;-14.94;39.39;7.39;15.67;63.71;-13.29
Sevilla;38;23;7;8;71;45;26;76;69.53;-1.47;47.86;2.86;21.67;67.39;-8.61
Villarreal;38;16;12;10;48;37;11;60;56.77;8.77;40.7;3.7;16.07;62.74;2.74
Athletic Club;38;15;10;13;42;41;1;55;45.54;3.54;44.11;3.11;1.43;53.36;-1.64
Celta Vigo;38;13;12;13;47;44;3;51;58.89;11.89;51.78;7.78;7.11;55.05;4.05
Malaga;38;14;8;16;42;48;-6;50;46.22;4.22;54.13;6.13;-7.91;48.51;-1.49
Espanyol;38;13;10;15;47;51;-4;49;43.98;-3.02;48.3;-2.7;-4.32;50.38;1.38
Rayo Vallecano;38;15;4;19;46;68;-22;49;47.79;1.79;70.43;2.43;-22.64;43.55;-5.45
Real Sociedad;38;11;13;14;44;51;-7;46;33.49;-10.51;51.16;0.16;-17.67;38.78;-7.22
Elche;38;11;8;19;35;62;-27;41;39.61;4.61;58.07;-3.93;-18.46;40.67;-0.33
Getafe;38;10;7;21;33;64;-31;37;33.97;0.97;53.67;-10.33;-19.7;40.1;3.1
Levante;38;9;10;19;34;67;-33;37;35.3;1.3;60.27;-6.73;-24.97;37.6;0.6
Eibar;38;9;8;21;34;55;-21;35;29.56;-4.44;53.72;-1.28;-24.16;35.65;0.65
Deportivo La Coruna;38;7;14;17;35;60;-25;35;37.87;2.87;50.98;-9.02;-13.11;43.52;8.52
Granada;38;7;14;17;29;64;-35;35;37.39;8.39;54.28;-9.72;-16.89;45.73;10.73
Almeria;38;8;8;22;35;64;-29;32;38.67;3.67;58.87;-5.13;-20.2;39.33;7.33
Cordoba;38;3;11;24;22;68;-46;20;29.76;7.76;57.34;-10.66;-27.58;36.29;16.29
Bayern Munich;34;25;4;5;80;18;62;79;66.21;-13.79;21.94;3.94;44.27;73.61;-5.39
Wolfsburg;34;20;9;5;72;38;34;69;58.35;-13.65;38.82;0.82;19.53;59.95;-9.05
Borussia M.Gladbach;34;19;9;6;53;26;27;66;51.74;-1.26;36.34;10.34;15.4;57.01;-8.99
Bayer Leverkusen;34;17;10;7;62;37;25;61;49.16;-12.84;34.72;-2.28;14.44;55.34;-5.66
Augsburg;34;15;4;15;43;43;0;49;43.91;0.91;46.66;3.66;-2.75;45.5;-3.5
Schalke 04;34;13;9;12;42;40;2;48;41.26;-0.74;46.96;6.96;-5.7;45.07;-2.93
Borussia Dortmund;34;13;7;14;47;42;5;46;53.86;6.86;33.4;-8.6;20.46;58.08;12.08
Hoffenheim;34;12;8;14;49;55;-6;44;49.96;0.96;50;-5;-0.04;46.03;2.03
Eintracht Frankfurt;34;11;10;13;56;62;-6;43;47.37;-8.63;55.04;-6.96;-7.67;41.72;-1.28
Werder Bremen;34;11;10;13;50;65;-15;43;42.67;-7.33;52.38;-12.62;-9.71;39.38;-3.62
Mainz 05;34;9;13;12;45;47;-2;40;43.91;-1.09;48.11;1.11;-4.2;44.93;4.93
FC Cologne;34;9;13;12;34;40;-6;40;32.22;-1.78;40.52;0.52;-8.3;41.82;1.82
Hannover 96;34;9;10;15;40;56;-16;37;36.43;-3.57;46.28;-9.72;-9.85;41.25;4.25
VfB Stuttgart;34;9;9;16;42;60;-18;36;45.64;3.64;48.1;-11.9;-2.46;44.26;8.26
Hertha Berlin;34;9;8;17;36;52;-16;35;32.66;-3.34;46.2;-5.8;-13.54;36.11;1.11
Hamburger SV;34;9;8;17;25;50;-25;35;32.86;7.86;55.83;5.83;-22.97;33.57;-1.43
Freiburg;34;7;13;14;36;47;-11;34;38.69;2.69;45.91;-1.09;-7.22;43.02;9.02
Paderborn;34;7;10;17;31;65;-34;31;36.08;5.08;55.77;-9.23;-19.69;36.16;5.16
Paris Saint Germain;38;24;11;3;83;36;47;83;78.42;-4.58;28.24;-7.76;50.18;84.1;1.1
Lyon;38;22;9;7;72;33;39;75;62.85;-9.15;41.71;8.71;21.14;65.62;-9.38
Monaco;38;20;11;7;51;26;25;71;56.61;5.61;37.62;11.62;18.99;64.81;-6.19
Marseille;38;21;6;11;76;42;34;69;60.63;-15.37;36.41;-5.59;24.22;66.51;-2.49
Saint-Etienne;38;19;12;7;51;30;21;69;46.49;-4.51;38.24;8.24;8.25;58.7;-10.3
Bordeaux;38;17;12;9;47;44;3;63;48.21;1.21;43.09;-0.91;5.12;55.79;-7.21
Montpellier;38;16;8;14;46;39;7;56;45.39;-0.61;42.45;3.45;2.94;52.76;-3.24
Lille;38;16;8;14;43;42;1;56;40.92;-2.08;44.22;2.22;-3.3;50.78;-5.22
Rennes;38;13;11;14;35;42;-7;50;37.44;2.44;38.92;-3.08;-1.48;49.58;-0.42
Guingamp;38;15;4;19;41;55;-14;49;37.85;-3.15;45.12;-9.88;-7.27;47.48;-1.52
Nice;38;13;9;16;44;53;-9;48;45.19;1.19;48;-5;-2.81;50.49;2.49
SC Bastia;38;12;11;15;37;46;-9;47;30.25;-6.75;44.64;-1.36;-14.39;44.44;-2.56
Caen;38;12;10;16;54;55;-1;46;41.4;-12.6;59.07;4.07;-17.67;40.98;-5.02
Nantes;38;11;12;15;29;40;-11;45;36.08;7.08;39.62;-0.38;-3.54;49.13;4.13
Reims;38;12;8;18;47;66;-19;44;43.45;-3.55;58.57;-7.43;-15.12;43.04;-0.96
Lorient;38;12;7;19;44;50;-6;43;41.04;-2.96;52.5;2.5;-11.46;43.97;0.97
Toulouse;38;12;6;20;43;64;-21;42;40.67;-2.33;45.67;-18.33;-5;46.42;4.42
Evian Thonon Gaillard;38;11;4;23;41;62;-21;37;33.9;-7.1;54.61;-7.39;-20.71;38.24;1.24
Metz;38;7;9;22;31;61;-30;30;37.52;6.52;48.69;-12.31;-11.17;42.99;12.99
Lens;38;7;8;23;32;61;-29;29;38.41;6.41;55.32;-5.68;-16.91;42.36;13.36
